step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99971278,,0.31166405,36.342121,-0.00028726302
2,1,correction,1,21193,0.73128208,576,0.99736698,34.192917,-0.31295601
3,2,ar,,374,0.99998014,,nan,42.708786,-1.9856238e-05
4,3,draft,0,264,0.99304903,,0.99836481,45.757965,-0.0069752421
5,3,draft,1,13027,0.89634633,,0.99032288,37.590416,-0.10942841
6,3,draft,2,729,0.99419011,,0.91137381,40.743828,-0.0058268306
7,3,bonus,,429,0.90411557,,nan,36.303482,-0.10079808
8,4,correction,0,47417,0.39964145,4675,nan,33.907745,-0.91718751
9,5,ar,,279,0.99997236,,nan,46.910927,-2.7642552e-05
10,6,draft,0,308,0.98241072,,0.99965054,40.429214,-0.017745805
11,6,draft,1,7563,0.9999999,,0.95003125,44.462288,-9.547277e-08
12,6,draft,2,79683,0.99997924,,0.9999946,41.059906,-2.0763447e-05
13,6,bonus,,1372,0.99999998,,nan,52.642563,-2.1794363e-08
14,7,draft,0,1667,0.99869651,,nan,38.746719,-0.0013043398
15,7,draft,1,21438,0.99572211,,nan,37.054138,-0.0042870657
16,7,draft,2,2022,0.99999999,,nan,53.229797,-6.3668446e-09
17,7,correction,3,1447,0.73870697,11,nan,34.559692,-0.30285396
18,8,ar,,73594,0.99992924,,nan,42.617157,-7.0757705e-05
19,9,draft,0,12669,0.99999867,,0.98572472,49.942345,-1.3265337e-06
20,9,draft,1,198,0.99999992,,0.99991714,38.388115,-7.7066755e-08
21,9,draft,2,750,0.99815764,,0.99986998,39.128845,-0.0018440556
22,9,bonus,,75698,0.94413527,,nan,38.875549,-0.057485829
23,10,ar,,1445,0.97158584,,nan,36.510567,-0.028825658
24,11,draft,0,11,0.99983987,,0.81699154,43.446724,-0.00016013826
25,11,draft,1,21438,0.99844877,,0.91672634,35.582222,-0.0015524379
26,11,draft,2,68085,0.98919065,,0.98514534,38.563194,-0.010868193
27,11,bonus,,982,0.99955981,,nan,40.939453,-0.00044028214
28,12,ar,,262,0.99999991,,nan,47.412693,-9.4134694e-08
29,13,draft,0,421,0.96775729,,0.99988236,43.43594,-0.032773951
30,13,draft,1,308,0.9999987,,0.82645292,44.693478,-1.3037479e-06
31,13,draft,2,304,0.99303445,,0.99765287,43.517643,-0.0069899219
32,13,bonus,,21438,0.99999598,,nan,46.420723,-4.0226298e-06
33,14,ar,,510,0.99469102,,nan,45.829384,-0.0053231213
34,15,draft,0,286,0.99999993,,0.97593158,50.189049,-6.5787436e-08
35,15,draft,1,470,0.99998641,,0.99997418,50.390137,-1.3594509e-05
36,15,draft,2,21438,0.99999997,,0.99975807,41.919552,-2.8162944e-08
37,15,bonus,,7669,1,,nan,55.900997,-6.7246209e-11
38,16,ar,,921,0.99994479,,nan,47.401386,-5.5216246e-05
39,17,draft,0,262,0.99975088,,0.98650266,47.449657,-0.00024915544
40,17,draft,1,421,0.789389,,0.95222138,46.025681,-0.23649604
41,17,draft,2,308,0.9999998,,0.89203712,50.310207,-2.009275e-07
42,17,bonus,,2651,0.77785261,,nan,39.967999,-0.25121822
43,18,ar,,220,0.99999969,,nan,46.334892,-3.059282e-07
44,19,draft,0,16,0.86746244,,0.99999711,35.983566,-0.14218306
45,19,draft,1,510,0.99999353,,0.82137524,52.195221,-6.4713544e-06
46,19,draft,2,286,0.99999975,,0.99959437,47.172783,-2.5163934e-07
47,19,bonus,,470,0.92650791,,nan,36.89579,-0.076332695
48,20,correction,0,308,0.99999456,21438,nan,47.302914,-5.4355712e-06
49,21,ar,,198,0.9911744,,nan,39.77338,-0.0088647784
50,22,draft,0,262,0.99999997,,0.9981335,41.354843,-2.8095584e-08
51,22,draft,1,21438,0.99917169,,0.99999641,38.739525,-0.00082865444
52,22,draft,2,7669,0.99999999,,0.98803811,48.267563,-1.4038816e-08
53,22,bonus,,60,0.99999956,,nan,44.221375,-4.4341882e-07
54,23,ar,,284,1,,nan,47.910564,-2.905165e-10
55,24,draft,0,75698,0.99999846,,0.99999994,43.206833,-1.5448055e-06
56,24,draft,1,1445,0.99999999,,0.99939121,46.686684,-6.6509343e-09
57,24,correction,2,481,0.55087636,12,0.9999998,51.703667,-0.59624488
58,25,ar,,220,0.99999999,,nan,50.440414,-9.1835632e-09
59,26,draft,0,16,0.99999862,,0.99999967,41.02459,-1.3766344e-06
60,26,draft,1,11,0.99990707,,0.99934434,46.379875,-9.2938293e-05
61,26,draft,2,21438,0.99999982,,0.95249759,36.259151,-1.7587206e-07
62,26,bonus,,8,1,,nan,48.289192,-3.5297654e-10
63,27,ar,,488,1,,nan,50.547077,-9.7499986e-10
64,28,draft,0,75698,0.99999999,,0.99999999,43.370983,-9.9198402e-09
65,28,draft,1,1445,1,,0.99999598,52.780884,-1.1173529e-10
66,28,draft,2,481,0.99999999,,0.99999997,47.748554,-5.0619813e-09
67,28,bonus,,220,0.99999998,,nan,37.723999,-1.8213831e-08
68,29,correction,0,17,0.99999999,16,nan,41.667995,-8.7555318e-09
69,30,ar,,11,0.99999983,,nan,41.181267,-1.6660388e-07
70,31,draft,0,21438,0.99999968,,0.99999198,42.26432,-3.196536e-07
71,31,draft,1,340,0.99998183,,0.99999535,46.136978,-1.8173434e-05
