step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99973334,,0.31166405,36.456257,-0.00026669168
2,1,correction,1,21193,0.73734374,576,0.99736698,34.214317,-0.30470109
3,2,ar,,374,0.99997968,,nan,42.633408,-2.0324653e-05
4,3,draft,0,264,0.99248629,,0.99836481,45.720451,-0.0075420811
5,3,draft,1,13027,0.89835111,,0.99032288,37.672268,-0.10719429
6,3,draft,2,729,0.99366568,,0.91137381,40.628082,-0.006354466
7,3,draft,3,429,0.90379264,,0.99039991,36.377167,-0.10115533
8,3,draft,4,47417,0.39723104,,0.92071987,33.882,-0.92323719
9,3,draft,5,279,0.99997361,,0.5968288,47.021317,-2.6385811e-05
10,3,draft,6,308,0.98310528,,0.99965054,40.515488,-0.017039067
11,3,bonus,,7563,0.99999989,,nan,44.382301,-1.0626978e-07
12,4,ar,,79683,0.99998096,,nan,41.120388,-1.9043266e-05
13,5,draft,0,1372,0.99999998,,0.99894129,52.590759,-2.4409065e-08
14,5,draft,1,1667,0.99856904,,0.99999533,38.736565,-0.001431986
15,5,draft,2,21438,0.99570324,,0.99287803,37.127563,-0.0043060152
16,5,draft,3,2022,0.99999999,,0.95521603,53.259113,-6.1639389e-09
17,5,correction,4,1447,0.74182137,13,0.99999829,34.616413,-0.2986468
18,6,ar,,73594,0.99992332,,nan,42.507336,-7.6687598e-05
19,7,draft,0,12669,0.99999849,,0.98335848,49.789234,-1.5066377e-06
20,7,draft,1,198,0.99999992,,0.99992168,38.605583,-8.1131842e-08
21,7,draft,2,750,0.99828031,,0.99987898,39.120296,-0.0017211725
22,7,draft,3,75698,0.93942876,,0.97949491,38.812988,-0.062483289
23,7,draft,4,1445,0.97376854,,0.89865457,36.604218,-0.026581638
24,7,draft,5,11,0.99983147,,0.82295016,43.500851,-0.0001685424
25,7,draft,6,21438,0.9982443,,0.92448078,35.456535,-0.0017572455
26,7,bonus,,68085,0.98924313,,nan,38.550903,-0.010815147
27,8,ar,,982,0.99951633,,nan,40.661865,-0.00048379049
28,9,draft,0,262,0.9999999,,0.99772052,47.500359,-9.6423065e-08
29,9,draft,1,421,0.97087584,,0.99988376,43.516617,-0.029556689
30,9,draft,2,308,0.99999873,,0.81492917,44.801556,-1.2727618e-06
31,9,draft,3,304,0.99478894,,0.99787899,43.779373,-0.0052246857
32,9,draft,4,21438,0.99999679,,0.83231995,46.501408,-3.2147246e-06
33,9,draft,5,510,0.99429148,,0.99744544,45.844631,-0.005724878
34,9,draft,6,286,0.99999993,,0.97638097,50.2509,-6.5327436e-08
35,9,bonus,,470,0.99998527,,nan,50.404766,-1.4726688e-05
36,10,ar,,21438,0.99999997,,nan,41.977692,-2.8085268e-08
37,11,draft,0,7669,1,,0.99999805,56.046616,-6.3981043e-11
38,11,draft,1,921,0.99994988,,0.99998486,47.620071,-5.0124334e-05
39,11,draft,2,262,0.99979452,,0.98461569,47.533089,-0.00020550278
40,11,draft,3,421,0.78268266,,0.95151966,46.070969,-0.24502795
41,11,draft,4,308,0.9999998,,0.86893577,50.289787,-2.0123677e-07
42,11,draft,5,2651,0.75936441,,0.99982625,40.162041,-0.2752735
43,11,draft,6,220,0.99999972,,0.82235218,46.428894,-2.8040139e-07
44,11,bonus,,16,0.84644829,,nan,36.151566,-0.16670617
45,12,ar,,510,0.99999421,,nan,52.323154,-5.7861124e-06
46,13,draft,0,286,0.99999978,,0.99959185,47.431343,-2.1848961e-07
47,13,draft,1,470,0.92360854,,0.99999024,36.92881,-0.079466953
48,13,draft,2,308,0.99999273,,0.94211403,47.305004,-7.2650852e-06
49,13,draft,3,198,0.99209998,,0.99842491,39.872459,-0.0079313873
50,13,draft,4,262,0.99999997,,0.99856264,41.296913,-2.7245545e-08
51,13,draft,5,21438,0.999233,,0.99999634,38.759468,-0.00076729899
52,13,draft,6,7669,0.99999998,,0.98574876,48.164673,-1.5168228e-08
53,13,bonus,,60,0.99999966,,nan,44.363365,-3.3936689e-07
54,14,ar,,284,1,,nan,48.021774,-2.7684233e-10
55,15,draft,0,75698,0.99999847,,0.99999994,43.225883,-1.5323958e-06
56,15,draft,1,1445,0.99999999,,0.99942185,46.543102,-6.5745922e-09
57,15,correction,2,481,0.54520342,12,0.99999981,51.57811,-0.6065963
58,16,ar,,220,0.99999999,,nan,50.396278,-1.0702768e-08
59,17,draft,0,16,0.9999978,,0.99999963,40.816265,-2.1986985e-06
60,17,draft,1,11,0.99991548,,0.99933502,46.498325,-8.4525296e-05
61,17,draft,2,21438,0.99999981,,0.94218746,36.158394,-1.9168224e-07
62,17,draft,3,8,1,,0.99999694,48.411324,-3.3953196e-10
63,17,draft,4,488,1,,0.99999971,50.684082,-9.0306185e-10
64,17,draft,5,75698,0.99999999,,0.99999999,43.356853,-1.0094983e-08
65,17,draft,6,1445,1,,0.99999573,52.756485,-1.2747958e-10
66,17,bonus,,481,0.99999999,,nan,47.53056,-6.5934403e-09
67,18,ar,,220,0.99999998,,nan,37.750946,-1.7370654e-08
68,19,draft,0,17,0.99999999,,0.99999993,41.505234,-9.5619463e-09
69,19,draft,1,11,0.99999984,,0.99999682,41.343212,-1.5896999e-07
70,19,draft,2,21438,0.99999967,,0.99999141,42.249382,-3.2819724e-07
71,19,draft,3,340,0.99998268,,0.99999493,46.430859,-1.7321498e-05
72,19,draft,4,262,0.99999927,,0.99995772,46.006264,-7.3253436e-07
73,19,draft,5,470,0.99999985,,0.99997425,47.2145,-1.5186453e-07
74,19,draft,6,21438,0.99999994,,0.99999848,45.007736,-6.3642109e-08
75,19,bonus,,7669,1,,nan,52.736912,-7.8676732e-10
76,20,ar,,2533,0.51022019,,nan,43.14505,-0.6729129
77,21,draft,0,2,0.99620528,,0.61271604,42.383583,-0.0038019361
78,21,draft,1,13383,0.9775597,,0.9629942,37.815609,-0.022695911
79,21,draft,2,10431,0.98428767,,0.93340628,38.256767,-0.015837079
80,21,draft,3,510,0.81920122,,0.99379011,39.188118,-0.19942553
81,21,correction,4,1350,0.882913,77,0.92598113,41.705704,-0.12452861
82,22,ar,,955,0.99999379,,nan,49.414989,-6.2106473e-06
83,23,draft,0,579,0.99995301,,0.9999499,42.325466,-4.6994253e-05
84,23,draft,1,39345,1,,0.99903277,47.527885,-3.3591125e-09
85,23,draft,2,7,0.99999995,,0.99999984,47.132111,-4.5890664e-08
86,23,draft,3,16,0.99755961,,0.99994946,37.818455,-0.0024433769
87,23,draft,4,15,0.99999095,,0.93830366,41.116165,-9.0510901e-06
88,23,draft,5,593,0.99295437,,0.9987334,41.011322,-0.0070705633
89,23,draft,6,220,0.99990696,,0.99196051,44.273872,-9.3048525e-05
90,23,bonus,,671,0.99999998,,nan,44.030697,-1.7672045e-08
91,24,ar,,9258,0.9420756,,nan,35.91959,-0.059669751
92,25,draft,0,25,0.75409941,,0.87201305,36.464577,-0.28223108
93,25,draft,1,220,0.99999846,,0.78794874,40.566357,-1.5392301e-06
94,25,draft,2,20,0.99999975,,0.9991976,41.855347,-2.5199155e-07
95,25,draft,3,20,0.99999994,,0.99867261,39.702286,-5.6014489e-08
96,25,draft,4,198,0.99999325,,0.99999492,40.144436,-6.7538119e-06
97,25,draft,5,13874,0.87098022,,0.99533542,37.488998,-0.13813601
98,25,draft,6,19324,0.99999011,,0.79553631,42.170029,-9.8852661e-06
