step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,ar,,0,0.99968677,,nan,36.342415,-0.00031327546
2,2,ar,,21193,0.73491596,,nan,34.189205,-0.30799913
3,3,ar,,374,0.99998055,,nan,42.752586,-1.9445967e-05
4,4,ar,,264,0.99306761,,nan,45.821693,-0.0069565342
5,5,ar,,13027,0.88930693,,nan,37.602791,-0.11731284
6,6,ar,,729,0.99379836,,nan,40.66898,-0.0062209469
7,7,ar,,429,0.89913932,,nan,36.344727,-0.10631728
8,8,ar,,47417,0.39504052,,nan,33.924927,-0.92876694
9,9,ar,,279,0.99997531,,nan,46.938118,-2.4695172e-05
10,10,ar,,308,0.98211038,,nan,40.376583,-0.018051577
11,11,ar,,7563,0.9999999,,nan,44.491482,-9.5756351e-08
12,12,ar,,79683,0.99998253,,nan,41.178478,-1.7475105e-05
13,13,ar,,1372,0.99999998,,nan,52.728645,-2.0732971e-08
14,14,ar,,1667,0.99862726,,nan,38.767143,-0.0013736851
15,15,ar,,21438,0.99590077,,nan,37.067562,-0.0041076511
16,16,ar,,2022,0.99999999,,nan,53.364311,-5.8528398e-09
17,17,ar,,1447,0.75306272,,nan,34.676983,-0.28360677
18,18,ar,,73594,0.99992368,,nan,42.536133,-7.632687e-05
19,19,ar,,12669,0.99999837,,nan,49.734375,-1.6285905e-06
20,20,ar,,198,0.99999992,,nan,38.631882,-8.1982881e-08
21,21,ar,,750,0.99832092,,nan,39.051743,-0.0016804889
22,22,ar,,75698,0.94076538,,nan,38.746098,-0.061061505
23,23,ar,,1445,0.97447039,,nan,36.536427,-0.025861147
24,24,ar,,11,0.99982042,,nan,43.473488,-0.00017959218
25,25,ar,,21438,0.99820532,,nan,35.420609,-0.0017962928
26,26,ar,,68085,0.99052397,,nan,38.499374,-0.0095212175
27,27,ar,,982,0.99951015,,nan,40.760696,-0.00048997161
28,28,ar,,262,0.9999999,,nan,47.529484,-9.7026822e-08
29,29,ar,,421,0.96926895,,nan,43.409508,-0.031213153
30,30,ar,,308,0.99999882,,nan,44.85775,-1.1750016e-06
31,31,ar,,304,0.99529632,,nan,43.648651,-0.0047147763
32,32,ar,,21438,0.99999698,,nan,46.549828,-3.0215782e-06
33,33,ar,,510,0.99393419,,nan,45.782799,-0.0060842789
34,34,ar,,286,0.99999993,,nan,50.116409,-6.8791212e-08
35,35,ar,,470,0.999983,,nan,50.360603,-1.6997658e-05
36,36,ar,,21438,0.99999997,,nan,42.007442,-2.6376042e-08
37,37,ar,,7669,1,,nan,56.216148,-6.4718675e-11
38,38,ar,,921,0.99994989,,nan,47.571388,-5.011288e-05
39,39,ar,,262,0.99976886,,nan,47.576576,-0.00023117138
40,40,ar,,421,0.82459212,,nan,46.357201,-0.19286641
41,41,ar,,308,0.99999975,,nan,50.137257,-2.4990963e-07
42,42,ar,,2651,0.76485409,,nan,40.126839,-0.2680702
43,43,ar,,220,0.9999997,,nan,46.232624,-3.0120605e-07
44,44,ar,,16,0.87232219,,nan,36.080235,-0.13659644
45,45,ar,,510,0.99999298,,nan,52.027573,-7.0244569e-06
46,46,ar,,286,0.99999976,,nan,47.311729,-2.3592526e-07
47,47,ar,,470,0.92889357,,nan,36.833817,-0.073761113
48,48,ar,,308,0.99999543,,nan,47.479435,-4.569396e-06
49,49,ar,,198,0.99169781,,nan,39.780945,-0.0083368498
50,50,ar,,262,0.99999997,,nan,41.248272,-2.9980189e-08
51,51,ar,,21438,0.99902267,,nan,38.515129,-0.00097781158
52,52,ar,,7669,0.99999999,,nan,48.236588,-1.3783642e-08
53,53,ar,,60,0.99999952,,nan,44.219936,-4.8053357e-07
54,54,ar,,284,1,,nan,47.871956,-2.9151037e-10
55,55,ar,,75698,0.99999846,,nan,43.091576,-1.5395743e-06
56,56,ar,,1445,0.99999999,,nan,46.358803,-8.7936517e-09
57,57,ar,,481,0.53680617,,nan,51.489197,-0.62211821
58,58,ar,,220,0.99999999,,nan,50.288193,-1.0222487e-08
59,59,ar,,16,0.99999821,,nan,41.008385,-1.7919853e-06
60,60,ar,,11,0.99990781,,nan,46.363602,-9.2193926e-05
61,61,ar,,21438,0.99999981,,nan,36.158157,-1.9042601e-07
62,62,ar,,8,1,,nan,48.404045,-3.7824965e-10
63,63,ar,,488,1,,nan,50.591557,-9.6411901e-10
64,64,ar,,75698,0.99999999,,nan,43.482986,-8.9761362e-09
65,65,ar,,1445,1,,nan,52.633698,-1.2165202e-10
66,66,ar,,481,0.99999999,,nan,47.764969,-5.2801348e-09
67,67,ar,,220,0.99999998,,nan,37.71315,-1.7383579e-08
68,68,ar,,17,0.99999999,,nan,41.444084,-1.0256842e-08
69,69,ar,,11,0.99999982,,nan,41.38739,-1.8092131e-07
70,70,ar,,21438,0.99999969,,nan,42.267529,-3.0775301e-07
71,71,ar,,340,0.99998124,,nan,46.225723,-1.8763672e-05
72,72,ar,,262,0.99999925,,nan,45.901794,-7.4811846e-07
73,73,ar,,470,0.99999986,,nan,47.232964,-1.3574817e-07
74,74,ar,,21438,0.99999992,,nan,44.896908,-7.5977756e-08
75,75,ar,,7669,1,,nan,52.705048,-8.0916429e-10
76,76,ar,,2533,0.50314318,,nan,43.350471,-0.6868805
77,77,ar,,2,0.99642073,,nan,42.386398,-0.0035856887
78,78,ar,,13383,0.97559748,,nan,37.745316,-0.024705197
79,79,ar,,10431,0.98457395,,nan,38.171356,-0.01554627
80,80,ar,,510,0.79995296,,nan,39.02594,-0.22320236
81,81,ar,,1350,0.87609548,,nan,41.575546,-0.1322802
82,82,ar,,955,0.99999338,,nan,49.423943,-6.6198927e-06
83,83,ar,,579,0.99995228,,nan,42.289814,-4.7723599e-05
84,84,ar,,39345,1,,nan,47.592522,-3.0402421e-09
85,85,ar,,7,0.99999996,,nan,47.091423,-4.2169449e-08
86,86,ar,,16,0.99750052,,nan,37.785847,-0.0025026054
87,87,ar,,15,0.9999885,,nan,40.967415,-1.1501881e-05
88,88,ar,,593,0.99400678,,nan,40.966633,-0.006011247
89,89,ar,,220,0.99990228,,nan,44.333908,-9.7729767e-05
90,90,ar,,671,0.99999998,,nan,43.878731,-1.8992403e-08
91,91,ar,,9258,0.94354708,,nan,35.963028,-0.058109016
92,92,ar,,25,0.7802939,,nan,36.437626,-0.24808463
93,93,ar,,220,0.9999985,,nan,40.575371,-1.4984532e-06
94,94,ar,,20,0.99999972,,nan,41.914543,-2.7519492e-07
95,95,ar,,20,0.99999994,,nan,39.75927,-6.2996911e-08
96,96,ar,,198,0.99999353,,nan,40.098289,-6.470374e-06
97,97,ar,,13874,0.8675645,,nan,37.407143,-0.14206541
98,98,ar,,19324,0.99998986,,nan,41.66893,-1.0141228e-05
99,99,ar,,14374,0.99477049,,nan,43.18446,-0.0052432276
100,100,ar,,71287,0.96716472,,nan,42.202225,-0.03338646
101,101,ar,,271,0.35828919,,nan,37.077286,-1.0264148
102,102,ar,,16,0.62233993,,nan,36.049412,-0.47426882
103,103,ar,,13,0.99999998,,nan,43.586178,-1.86055e-08
104,104,ar,,3070,0.99995023,,nan,44.232197,-4.9769636e-05
105,105,ar,,46402,0.84739057,,nan,33.353962,-0.16559356
106,106,ar,,2022,0.99974575,,nan,34.89566,-0.00025428223
107,107,ar,,95518,0.6256544,,nan,29.173134,-0.46895713
108,108,ar,,1096,0.57041955,,nan,31.534248,-0.56138314
109,109,ar,,14762,0.72691893,,nan,34.245323,-0.31894033
110,110,ar,,17601,0.55459831,,nan,30.126163,-0.58951119
111,111,ar,,27572,0.82301134,,nan,34.617661,-0.1947853
112,112,ar,,279,0.98967044,,nan,33.063301,-0.010383281
113,113,ar,,3059,0.99827635,,nan,36.229897,-0.0017251397
114,114,ar,,315,0.99999655,,nan,39.208176,-3.4457407e-06
115,115,ar,,11392,0.99806212,,nan,36.046799,-0.0019397554
116,116,ar,,729,0.99986001,,nan,37.867184,-0.00013999742
117,117,ar,,6738,0.99999022,,nan,40.161621,-9.7809661e-06
118,118,ar,,323,0.97761132,,nan,30.95623,-0.022643113
119,119,ar,,312,0.89503826,,nan,33.460236,-0.11088881
120,120,ar,,970,0.99980361,,nan,43.445045,-0.00019640788
121,121,ar,,1105,0.59749264,,nan,35.025002,-0.51501332
122,122,ar,,979,0.99836926,,nan,34.117764,-0.0016320697
123,123,ar,,279,0.99998487,,nan,35.998344,-1.5127894e-05
124,124,ar,,1852,0.99999518,,nan,39.962608,-4.8168932e-06
125,125,ar,,11127,0.9996547,,nan,36.159454,-0.00034535555
126,126,ar,,12170,0.9999522,,nan,37.417732,-4.779671e-05
127,127,ar,,1549,0.99979665,,nan,38.584846,-0.00020337159
128,128,ar,,13,0.86456708,,nan,36.213673,-0.14552638
129,129,ar,,1096,0.5012841,,nan,33.419109,-0.69058227
130,130,ar,,54852,0.54267565,,nan,29.242445,-0.61124346
131,131,ar,,47732,0.8469315,,nan,32.752861,-0.16613547
132,132,ar,,28117,0.94167389,,nan,34.36174,-0.060096251
133,133,ar,,323,0.57560295,,nan,32.768177,-0.55233717
134,134,ar,,11941,0.65961513,,nan,31.000687,-0.41609874
135,135,ar,,24722,0.63947827,,nan,37.45882,-0.44710264
136,136,ar,,705,0.99998032,,nan,40.963104,-1.9684983e-05
137,137,ar,,279,0.92351525,,nan,31.029547,-0.079567962
138,138,ar,,729,0.66661745,,nan,32.612595,-0.40553893
139,139,ar,,382,0.70200335,,nan,32.343132,-0.35381711
140,140,ar,,17,0.99685761,,nan,41.027565,-0.0031473357
141,141,ar,,13,1,,nan,44.759331,-3.1936567e-09
142,142,ar,,3070,0.99998028,,nan,39.848053,-1.9720471e-05
143,143,ar,,5152,0.96918139,,nan,32.450066,-0.031303488
144,144,ar,,19709,0.41038005,,nan,27.417925,-0.8906716
145,145,ar,,334,0.79169189,,nan,32.620338,-0.23358299
146,146,ar,,510,0.99979705,,nan,42.82761,-0.0002029668
147,147,ar,,256,0.69948317,,nan,42.453682,-0.35741355
148,148,ar,,481,0.9982047,,nan,42.599205,-0.00179691
149,149,ar,,1565,0.55061238,,nan,35.721542,-0.5967242
150,150,ar,,75326,0.80085271,,nan,34.69445,-0.22207823
151,151,ar,,39345,0.99999672,,nan,39.316925,-3.2813505e-06
152,152,ar,,1445,0.99917262,,nan,41.173187,-0.00082772182
153,153,ar,,11,0.99992538,,nan,41.205032,-7.46209e-05
154,154,ar,,21438,0.99999994,,nan,39.303669,-5.8953662e-08
155,155,ar,,1165,0.99920144,,nan,42.083839,-0.00079887676
156,156,ar,,5410,0.99994804,,nan,38.514458,-5.195825e-05
157,157,ar,,44622,0.92013759,,nan,35.06208,-0.083232061
158,158,ar,,576,0.82999386,,nan,32.96357,-0.18633698
159,159,ar,,729,0.96351339,,nan,34.372871,-0.037168893
160,160,ar,,4990,0.80274027,,nan,31.657412,-0.21972406
161,161,ar,,1378,0.50429889,,nan,37.71804,-0.68458616
162,162,ar,,5977,0.55917999,,nan,39.598316,-0.58128388
163,163,ar,,25,0.50534272,,nan,32.828339,-0.68251843
164,164,ar,,1565,0.97980185,,nan,38.823502,-0.020404919
165,165,ar,,77,0.99999999,,nan,47.244476,-5.767792e-09
166,166,ar,,63,0.51902081,,nan,38.078545,-0.6558113
167,167,ar,,320,0.88257602,,nan,34.177582,-0.12491035
168,168,ar,,1782,0.97688616,,nan,36.893242,-0.02338515
169,169,ar,,1922,0.45471767,,nan,33.148064,-0.78807856
170,170,ar,,315,0.95801334,,nan,32.85672,-0.042893579
171,171,ar,,279,0.99836557,,nan,38.791019,-0.0016357627
